NAME,RESTAURANT NAME,CALORIES,CATEGORY,PRICE ,ALLERGENS 1,ALLERGENS 2,ALLERGENS 3,ALLERGENS 4,ALLERGENS 5,ALLERGENS 6,ALLERGENS 7,ALLERGENS 8,ALLERGENS 9,ALLERGENS 10,SIMPLE NAME 1,SIMPLE NAME 2,SIMPLE NAME 3,,
BON TO GO - HARD BOILED EGGS,AU BON PAIN,140,MEAL,, EGGS,,,,,,,,,,EGGS,EGGS,EGGS,,
BON TO GO - HERB CHICKEN SALAD,AU BON PAIN,270,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,CHICKEN,SALAD,SALAD,,
BON TO GO - HERB CHICKEN SALAD,AU BON PAIN,270,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,SALAD,CHICKEN,CHICKEN,,
BON TO GO - HUMMUS,AU BON PAIN,300,MEAL,, WHEAT, SESAME,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES,,
BON TO GO - HUMMUS,AU BON PAIN,300,MEAL,, WHEAT, SESAME,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES,,
BON TO GO - HUMMUS  VEGGIE & TABOULE,AU BON PAIN,350,MEAL,, WHEAT, SESAME,,,,,,,,,VEGETABLES,EGGS,EGGS,,
BON TO GO - HUMMUS  VEGGIE & TABOULE,AU BON PAIN,350,MEAL,, WHEAT, SESAME,,,,,,,,,VEGETABLES,EGGS,EGGS,,
BON TO GO - SMOKED SALMON,AU BON PAIN,210,MEAL,, SALMON, MILK, SOY, WHEAT,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
BON TO GO - SMOKED SALMON,AU BON PAIN,210,MEAL,, SALMON, MILK, SOY, WHEAT,,,,,,,FISH,FISH,FISH,,
BON TO GO - SOUTHWEST CHICKEN,AU BON PAIN,350,MEAL,, MILK, SOY, WHEAT,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
BON TO GO - SOUTHWEST CHICKEN,AU BON PAIN,350,MEAL,, MILK, SOY, WHEAT,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
BON TO GO - TURKEY & SWISS,AU BON PAIN,280,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,TURKEY,CHEESE,CHEESE,,
BON TO GO - TURKEY & SWISS,AU BON PAIN,280,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,TURKEY,CHEESE,CHEESE,,
